Vernier Format 2
Gamma_1.cmbl 20/03/2019 00:07:31 ,
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

0,0333	0,2206176	0,328694027361	0,617376468895
0,0666	0,2310448	0,349409075742	0,485858898605
0,0999	0,242844	0,37548028028	0,0734917433282
0,1332	0,2571128	0,371955288622	-0,780952401629
0,1665	0,2691864	0,320911578245	-1,61832675741
0,1998	0,2787904	0,252471805138	-2,12368034813
0,2331	0,2861992	0,174418418418	-2,44342384872
0,2664	0,2905896	0,0878958958959	-2,67273947287
0,2997	0,2919616	0,000228895562229	-2,93260505528
0,333	0,2916872	-0,11398998999	-2,94520691306
0,3663	0,284004	-0,216077410744	-2,37602300332
0,3996	0,275772	-0,274674674675	-1,67261021449
0,4329	0,2656192	-0,321827160494	-1,07421290716
0,4662	0,25382	-0,34815015015	-0,428081290054
0,4995	0,2417464	-0,350668001335	0,248982159782
0,5328	0,2302216	-0,336705372039	1,07593134231
0,5661	0,218148	-0,283601601602	1,99395758788
0,5994	0,2101904	-0,193874541208	2,60610237643
0,6327	0,2052512	-0,0984250917584	2,8447739253
0,666	0,2036048	0	2,87589669527
0,6993	0,2052512	0,0968228228228	2,73613063625
0,7326	0,2101904	0,187465465465	2,40275421679
0,7659	0,218148	0,262772105439	1,85820121089
0,7992	0,2283008	0,315418084751	1,15688873169
0,8325	0,2398256	0,342198865532	0,370418243847
0,8658	0,2518992	0,33990990991	-0,415097557796
0,8991	0,2631496	0,311526860194	-1,1154553508
0,9324	0,273028	0,264832165499	-1,76196884238
0,9657	0,2815344	0,192958958959	-2,32446994876
0,999	0,2864736	0,10162962963	-2,62023173212
1,0323	0,28812	0,0119025692359	-2,688014452
1,0656	0,2872968	-0,078968968969	-2,64486263596
1,0989	0,2829064	-0,168696029363	-2,42394825033
1,1322	0,275772	-0,247207207207	-1,97142699367
1,1655	0,2658936	-0,305804471138	-1,31498476566
1,1988	0,2546432	-0,336934267601	-0,563837667052
1,2321	0,242844	-0,343572238906	0,20716690442
1,2654	0,2310448	-0,323200533867	0,973398044914
1,2987	0,2206176	-0,276734734735	1,67012803038
1,332	0,2121112	-0,209668335002	2,27253501973
1,3653	0,2060744	-0,12223023023	2,74529562373
1,3986	0,2036048	-0,0206006006006	2,98759498014
1,4319	0,2047024	0,0824024024024	2,98224873745
1,4652	0,2088184	0,188838838839	2,60724799986
1,4985	0,218148	0,267578912246	1,87519462517
1,5318	0,227752	0,311069069069	1,16242591162
1,5651	0,2390024	0,341741074408	0,510375240105
1,5984	0,251076	0,349294627961	-0,239053423349
1,6317	0,2631496	0,327091758425	-1,01158549273
1,665	0,2735768	0,278108108108	-1,67031896762
1,6983	0,2820832	0,211728395062	-2,18222170563
1,7316	0,28812	0,129097097097	-2,55149432605
1,7649	0,290864	0,0382255588922	-2,77527277027
1,7982	0,290864	-0,0590550550551	-2,85451172449
1,8315	0,2870224	-0,158624624625	-2,68763257752
1,8648	0,279888	-0,24446046046	-2,26375190673
1,8981	0,2705584	-0,317935935936	-1,54735538564
1,9314	0,2576616	-0,355703703704	-0,587704821939
1,9647	0,245588	-0,351812479146	0,251655281129
1,998	0,2340632	-0,333271938605	0,929291542683
2,0313	0,2228128	-0,291841841842	1,60616405528
2,0646	0,2137576	-0,222944277611	2,15854548799
2,0979	0,2077208	-0,141915248582	2,51731656025
2,1312	0,2041536	-0,0528748748749	2,75331498777
2,1645	0,2038792	0,0453213213213	2,82357989176
2,1978	0,207172	0,142373039706	2,6547913724
2,2311	0,2137576	0,227751084418	2,27463532936
2,2644	0,2228128	0,2957330664	1,76082321895
2,2977	0,2335144	0,352956956957	0,988863961281
2,331	0,2475088	0,370810810811	-0,0391421340148
2,3643	0,2595824	0,34403003003	-0,910961567729
2,3976	0,2705584	0,303286619953	-1,57446847359
2,4309	0,2804368	0,238509175843	-2,1547267432
2,4642	0,2870224	0,154733400067	-2,55244901224
2,4975	0,290864	0,0634040707374	-2,76477122212
2,5308	0,2914128	-0,0334187520854	-2,80372241889
2,5641	0,2886688	-0,129783783784	-2,61335799151
2,5974	0,2823576	-0,212872872873	-2,22231852584
2,6307	0,2741256	-0,281083750417	-1,6917039384
2,664	0,2631496	-0,32960960961	-1,02571484843
2,6973	0,2513504	-0,350439105772	-0,303972084642
2,7306	0,2392768	-0,348836836837	0,425408168707
2,7639	0,227752	-0,327320653987	1,28481668188
2,7972	0,2162272	-0,265518852186	2,16427360516
2,8305	0,2090928	-0,171442776109	2,68839632648
2,8638	0,2049768	-0,0762222222222	2,86405858645
2,8971	0,2038792	0,0233473473473	2,841337055
2,9304	0,2066232	0,118339005672	2,61412174047
2,9637	0,2121112	0,201428094761	2,22861945473
2,997	0,2203432	0,271012345679	1,68234801368
3,0303	0,2307704	0,317935935936	0,988482086803
